,MACD,Single Line
2021-11-30 12:30:00-05:00,1.578223514445142,2.072827197614586
2021-11-30 13:30:00-05:00,1.4381999959742302,1.945901757286515
2021-11-30 14:30:00-05:00,1.0588200992924612,1.7684854256877043
2021-11-30 15:30:00-05:00,1.1603542733257086,1.6468591952153053
2021-12-01 09:30:00-05:00,1.2976763144365009,1.5770226190595447
2021-12-01 10:30:00-05:00,1.6525280483019742,1.5921237049080308
2021-12-01 11:30:00-05:00,1.7078964804898078,1.6152782600243862
2021-12-01 12:30:00-05:00,1.3568833498140975,1.5635992779823287
2021-12-01 13:30:00-05:00,0.9443344749500966,1.4397463173758824
2021-12-01 14:30:00-05:00,0.10382436107039439,1.172561926114785
2021-12-01 15:30:00-05:00,-0.7289846267865414,0.7922526155345199
2021-12-02 09:30:00-05:00,-0.9934469051796668,0.4351127113916826
2021-12-02 10:30:00-05:00,-1.1203232937120902,0.12402551037092807
2021-12-02 11:30:00-05:00,-0.8220593959192115,-0.06519147088709985
2021-12-02 12:30:00-05:00,-0.9491522753480695,-0.2419836317792938
2021-12-02 13:30:00-05:00,-0.7882229192877048,-0.35123148928097603
2021-12-02 14:30:00-05:00,-0.8860916126859593,-0.4582035139619727
2021-12-02 15:30:00-05:00,-0.863327113975231,-0.5392282339646244
2021-12-03 09:30:00-05:00,-1.781748892443602,-0.7877323656604199
2021-12-03 10:30:00-05:00,-2.7287544606674032,-1.1759367846618167
2021-12-03 11:30:00-05:00,-3.486223465911678,-1.637994120911789
2021-12-03 12:30:00-05:00,-4.083030650630576,-2.1270014268555464
2021-12-03 13:30:00-05:00,-4.552673564492352,-2.612135854382908
2021-12-03 14:30:00-05:00,-4.88993211879955,-3.0676951072662364
2021-12-03 15:30:00-05:00,-4.865928357042719,-3.4273417572215332
2021-12-06 09:30:00-05:00,-5.981867882892004,-3.938246982355628
2021-12-06 10:30:00-05:00,-6.81114462743551,-4.512826511371605
2021-12-06 11:30:00-05:00,-7.27555019820835,-5.065371248738955
2021-12-06 12:30:00-05:00,-7.149109921871229,-5.482118983365409
2021-12-06 13:30:00-05:00,-6.810363174140036,-5.747767821520335
2021-12-06 14:30:00-05:00,-6.41790132762344,-5.8817945227409565
2021-12-06 15:30:00-05:00,-6.083547667831624,-5.92214515175909
2021-12-07 09:30:00-05:00,-4.654596897029421,-5.668635500813156
