Datetime,MACD,Single Line
2021-11-15 09:30:00-05:00,0.0,0.0
2021-11-15 09:35:00-05:00,0.007977694867349783,0.0015955389734699566
2021-11-15 09:40:00-05:00,-0.11443840078442236,-0.021611248978108507
2021-11-15 09:45:00-05:00,-0.274314363007079,-0.07215187178390262
2021-11-15 09:50:00-05:00,-0.40402566311792043,-0.1385266300507062
2021-11-15 09:55:00-05:00,-0.4698179112568255,-0.20478488629193006
2021-11-15 10:00:00-05:00,-0.5408589321997397,-0.271999695473492
2021-11-15 10:05:00-05:00,-0.517330434690507,-0.321065843316895
2021-11-15 10:10:00-05:00,-0.5612385756074332,-0.36910038977500265
2021-11-15 10:15:00-05:00,-0.6283311995738359,-0.42094655173476936
2021-11-15 10:20:00-05:00,-0.7223083360908618,-0.4812189086059878
2021-11-15 10:25:00-05:00,-0.8496186623310678,-0.5548988593510038
2021-11-15 10:30:00-05:00,-0.8950087860521307,-0.6229208446912292
2021-11-15 10:35:00-05:00,-0.9826153533715001,-0.6948597464272834
2021-11-15 10:40:00-05:00,-1.0066714594460109,-0.7572220890310289
2021-11-15 10:45:00-05:00,-0.9564671691723561,-0.7970711050592945
2021-11-15 10:50:00-05:00,-0.9058341628456219,-0.81882371661656
2021-11-15 10:55:00-05:00,-0.9080921469740701,-0.8366774026880621
2021-11-15 11:00:00-05:00,-0.8691988145770893,-0.8431816850658675
2021-11-15 11:05:00-05:00,-0.8108746605209376,-0.8367202801568816
2021-11-15 11:10:00-05:00,-0.8002112813594522,-0.8294184803973959
2021-11-15 11:15:00-05:00,-0.7834484247324554,-0.8202244692644077
2021-11-15 11:20:00-05:00,-0.8037536904523677,-0.8169303135019998
2021-11-15 11:25:00-05:00,-0.7965412135744714,-0.8128524935164942
2021-11-15 11:30:00-05:00,-0.748899246706344,-0.8000618441544642
2021-11-15 11:35:00-05:00,-0.7451276727865093,-0.7890750098808733
2021-11-15 11:40:00-05:00,-0.973793557191641,-0.826018719343027
2021-11-15 11:45:00-05:00,-1.091593577886556,-0.8791336910517328
2021-11-15 11:50:00-05:00,-1.2209079629377584,-0.9474885454289379
2021-11-15 11:55:00-05:00,-1.2695478473478943,-1.0119004058127292
2021-11-15 12:00:00-05:00,-1.2573604265500649,-1.0609924099601964
2021-11-15 12:05:00-05:00,-1.4029986532577254,-1.1293936586197022
2021-11-15 12:10:00-05:00,-1.50789646797557,-1.205094220490876
2021-11-15 12:15:00-05:00,-1.592441130245561,-1.282563602441813
2021-11-15 12:20:00-05:00,-1.6796198885525655,-1.3619748596639636
2021-11-15 12:25:00-05:00,-1.678127751899865,-1.4252054381111439
2021-11-15 12:30:00-05:00,-1.6215370763935653,-1.4644717657676283
2021-11-15 12:35:00-05:00,-1.5148469274677723,-1.4745467981076572
2021-11-15 12:40:00-05:00,-1.3561666252275018,-1.4508707635316263
2021-11-15 12:45:00-05:00,-1.1920523573773494,-1.399107082300771
2021-11-15 12:50:00-05:00,-1.1073241553584694,-1.3407504969123107
2021-11-15 12:55:00-05:00,-1.0451543741839373,-1.281631272366636
2021-11-15 13:00:00-05:00,-0.9034850986336096,-1.2060020376200309
2021-11-15 13:05:00-05:00,-0.7379216054918629,-1.1123859511943972
2021-11-15 13:10:00-05:00,-0.6301110347876033,-1.0159309679130386
2021-11-15 13:15:00-05:00,-0.4842188809280401,-0.9095885505160389
2021-11-15 13:20:00-05:00,-0.3843407674378341,-0.804538993900398
2021-11-15 13:25:00-05:00,-0.3232463175895077,-0.70828045863822
2021-11-15 13:30:00-05:00,-0.3195603116629968,-0.6305364292431754
2021-11-15 13:35:00-05:00,-0.262773902559843,-0.556983923906509
2021-11-15 13:40:00-05:00,-0.21170017151149523,-0.48792717342750624
2021-11-15 13:45:00-05:00,-0.14374495270101306,-0.41909072928220764
2021-11-15 13:50:00-05:00,-0.10123014026976307,-0.35551861147971875
2021-11-15 13:55:00-05:00,-0.12579775446585018,-0.309574440076945
2021-11-15 14:00:00-05:00,-0.14559880435490413,-0.2767793129325368
2021-11-15 14:05:00-05:00,-0.08527305522892448,-0.23847806139181438
2021-11-15 14:10:00-05:00,-0.05059984367909465,-0.20090241784927046
2021-11-15 14:15:00-05:00,-0.05356818098499616,-0.1714355704764156
2021-11-15 14:20:00-05:00,-0.06804716267799904,-0.1507578889167323
2021-11-15 14:25:00-05:00,-0.026764263000814026,-0.12595916373354865
2021-11-15 14:30:00-05:00,0.06332088982799178,-0.08810315302124058
2021-11-15 14:35:00-05:00,0.18782249982581334,-0.0329180224518298
2021-11-15 14:40:00-05:00,0.36858277853872323,0.047382137746280806
2021-11-15 14:45:00-05:00,0.5091952708170311,0.13974476436043087
2021-11-15 14:50:00-05:00,0.5652010300215125,0.2248360174926472
2021-11-15 14:55:00-05:00,0.6290578074571727,0.3056803754855523
2021-11-15 15:00:00-05:00,0.6603532210814933,0.37661494460474054
2021-11-15 15:05:00-05:00,0.6801393418832617,0.4373198240604448
2021-11-15 15:10:00-05:00,0.6990572379431796,0.4896673068369918
2021-11-15 15:15:00-05:00,0.723462442058235,0.5364263338812405
2021-11-15 15:20:00-05:00,0.747102567136551,0.5785615805323027
2021-11-15 15:25:00-05:00,0.7726661831083561,0.6173825010475134
2021-11-15 15:30:00-05:00,0.7595594444699714,0.645817889732005
2021-11-15 15:35:00-05:00,0.7717445292580578,0.6710032176372156
2021-11-15 15:40:00-05:00,0.7888510783045604,0.6945727897706846
2021-11-15 15:45:00-05:00,0.7529785995462817,0.7062539517258041
2021-11-15 15:50:00-05:00,0.7422168937000038,0.7134465401206441
