Datetime,MACD,Single Line
2021-11-15 09:30:00-05:00,0.0,0.0
2021-11-15 09:35:00-05:00,-0.0007977390561002551,-0.00015954781122005102
2021-11-15 09:40:00-05:00,-0.008992026124504449,-0.0019260434738769306
2021-11-15 09:45:00-05:00,-0.020965415907760132,-0.00573391796065357
2021-11-15 09:50:00-05:00,-0.01727201784420984,-0.008041537937364826
2021-11-15 09:55:00-05:00,-0.01298488920634533,-0.009030208191160927
2021-11-15 10:00:00-05:00,-0.02343818096799133,-0.011911802746527008
2021-11-15 10:05:00-05:00,-0.03534959934735582,-0.01659936206669277
2021-11-15 10:10:00-05:00,-0.04986308399696959,-0.023252106452748136
2021-11-15 10:15:00-05:00,-0.05446754390442976,-0.02949519394308446
2021-11-15 10:20:00-05:00,-0.06776885327402837,-0.037149925809273246
2021-11-15 10:25:00-05:00,-0.08287417716160483,-0.046294776079739565
2021-11-15 10:30:00-05:00,-0.08977577835779194,-0.05499097653535004
2021-11-15 10:35:00-05:00,-0.09814854917287974,-0.06362249106285599
2021-11-15 10:40:00-05:00,-0.10518538847441938,-0.07193507054516866
2021-11-15 10:45:00-05:00,-0.10870214871753703,-0.07928848617964235
2021-11-15 10:50:00-05:00,-0.1018425663428637,-0.08379930221228662
2021-11-15 10:55:00-05:00,-0.09730199826115893,-0.08649984142206109
2021-11-15 11:00:00-05:00,-0.09247618584897843,-0.08769511030744456
2021-11-15 11:05:00-05:00,-0.08700321256044674,-0.087556730758045
2021-11-15 11:10:00-05:00,-0.08252151997954371,-0.08654968860234474
2021-11-15 11:15:00-05:00,-0.0872435771067277,-0.08668846630322134
2021-11-15 11:20:00-05:00,-0.08469998574996396,-0.08629077019256987
2021-11-15 11:25:00-05:00,-0.08116752330951549,-0.085266120815959
2021-11-15 11:30:00-05:00,-0.07532105827460711,-0.08327710830768861
2021-11-15 11:35:00-05:00,-0.07506736265043301,-0.0816351591762375
2021-11-15 11:40:00-05:00,-0.0819903681601275,-0.0817062009730155
2021-11-15 11:45:00-05:00,-0.08488453404372542,-0.08234186758715749
2021-11-15 11:50:00-05:00,-0.09097105606960021,-0.08406770528364604
2021-11-15 11:55:00-05:00,-0.09470299149078798,-0.08619476252507444
2021-11-15 12:00:00-05:00,-0.0973452991280368,-0.08842486984566691
2021-11-15 12:05:00-05:00,-0.09679046126014512,-0.09009798812856257
2021-11-15 12:10:00-05:00,-0.0942954623753458,-0.09093748297791922
2021-11-15 12:15:00-05:00,-0.09680234415049505,-0.09211045521243438
2021-11-15 12:20:00-05:00,-0.0985885841831351,-0.09340608100657452
2021-11-15 12:25:00-05:00,-0.0980668043072157,-0.09433822566670277
2021-11-15 12:30:00-05:00,-0.10053703923587598,-0.09557798838053742
2021-11-15 12:35:00-05:00,-0.09932442763217253,-0.09632727623086446
2021-11-15 12:40:00-05:00,-0.09644473444060786,-0.09635076787281315
2021-11-15 12:45:00-05:00,-0.09827463097989408,-0.09673554049422935
2021-11-15 12:50:00-05:00,-0.09692115345952956,-0.09677266308728939
2021-11-15 12:55:00-05:00,-0.09272999830070461,-0.09596413012997244
2021-11-15 13:00:00-05:00,-0.08729673748753086,-0.09423065160148414
2021-11-15 13:05:00-05:00,-0.07960400526044431,-0.09130532233327618
2021-11-15 13:10:00-05:00,-0.0687290767444182,-0.08679007321550458
2021-11-15 13:15:00-05:00,-0.056753254109567663,-0.0807827093943172
2021-11-15 13:20:00-05:00,-0.047002927419343976,-0.07402675299932256
2021-11-15 13:25:00-05:00,-0.036833789039807385,-0.06658816020741953
2021-11-15 13:30:00-05:00,-0.030042235213173285,-0.05927897520857029
2021-11-15 13:35:00-05:00,-0.024793625137011333,-0.0523819051942585
2021-11-15 13:40:00-05:00,-0.019984148276792624,-0.04590235381076532
2021-11-15 13:45:00-05:00,-0.018381441135838728,-0.04039817127578
2021-11-15 13:50:00-05:00,-0.02010716393806078,-0.03633996980823616
2021-11-15 13:55:00-05:00,-0.023224356056882556,-0.03371684705796544
2021-11-15 14:00:00-05:00,-0.026598544152280468,-0.032293186476828446
2021-11-15 14:05:00-05:00,-0.02734354338943845,-0.03130325785935045
2021-11-15 14:10:00-05:00,-0.02337975681762039,-0.029718557651004444
2021-11-15 14:15:00-05:00,-0.021052778005552497,-0.027985401721914056
2021-11-15 14:20:00-05:00,-0.016197718139796535,-0.025627865005490552
2021-11-15 14:25:00-05:00,-0.012209306927141839,-0.02294415338982081
2021-11-15 14:30:00-05:00,-0.009344215454655469,-0.02022416580278774
2021-11-15 14:35:00-05:00,-0.005796466375141307,-0.017338625917258457
2021-11-15 14:40:00-05:00,0.0006389153872419229,-0.013743117656358382
2021-11-15 14:45:00-05:00,0.005314670746820127,-0.00993155997572268
2021-11-15 14:50:00-05:00,0.004091223402259203,-0.007127003300126303
2021-11-15 14:55:00-05:00,0.006276938554741207,-0.004446214929152801
2021-11-15 15:00:00-05:00,0.006721252798833177,-0.0022127213835556056
2021-11-15 15:05:00-05:00,0.005796234268274247,-0.000610930253189635
2021-11-15 15:10:00-05:00,0.010988341466131146,0.001708924090674521
2021-11-15 15:15:00-05:00,0.012537867364569522,0.0038747127454535216
2021-11-15 15:20:00-05:00,0.011614654062245933,0.0054227010088120035
2021-11-15 15:25:00-05:00,0.012354456179041406,0.006809052042857885
2021-11-15 15:30:00-05:00,0.013192151226753879,0.008085671879637085
2021-11-15 15:35:00-05:00,0.011703779464605546,0.008809293396630776
2021-11-15 15:40:00-05:00,0.010404299827998287,0.009128294682904279
2021-11-15 15:45:00-05:00,0.007273349918520466,0.008757305730027518
