,MACD,Single Line
2021-12-27 09:30:00-05:00,0.0,0.0
2021-12-27 10:30:00-05:00,0.07977207977207712,0.015954415954415425
2021-12-27 11:30:00-05:00,0.17343089909152098,0.04744971258183654
2021-12-27 12:30:00-05:00,0.2606368276958335,0.09008713560463594
2021-12-27 13:30:00-05:00,0.36389808507912136,0.14484932549953303
2021-12-27 14:30:00-05:00,0.36763822666023316,0.18940710573167308
2021-12-27 15:30:00-05:00,0.4054673805782869,0.23261916070099586
2021-12-28 09:30:00-05:00,0.38302041085025706,0.2626994107308481
2021-12-28 10:30:00-05:00,0.29685230012795216,0.26952998861026894
2021-12-28 11:30:00-05:00,0.21722362653985527,0.2590687161961862
2021-12-28 12:30:00-05:00,0.14754292399435798,0.2367635577558206
2021-12-28 13:30:00-05:00,0.09458684070973078,0.20832821434660265
2021-12-28 14:30:00-05:00,0.06225385410478168,0.17911334229823847
2021-12-28 15:30:00-05:00,0.017864754630714685,0.14686362476473372
2021-12-29 09:30:00-05:00,-0.09210226224035267,0.09907044736371645
2021-12-29 10:30:00-05:00,-0.16205257290339858,0.04684584331029345
2021-12-29 11:30:00-05:00,-0.18230365385264236,0.001015943877706288
2021-12-29 12:30:00-05:00,-0.20008089397608586,-0.039203423693052145
2021-12-29 13:30:00-05:00,-0.18699965698866805,-0.06876267035217533
2021-12-29 14:30:00-05:00,-0.20732631490332665,-0.09647539926240559
2021-12-29 15:30:00-05:00,-0.18419367812315102,-0.11401905503455469
2021-12-30 09:30:00-05:00,-0.0682444918615559,-0.10486414239995492
2021-12-30 10:30:00-05:00,0.11431702925258946,-0.06102790806944605
2021-12-30 11:30:00-05:00,0.22373890263590823,-0.004074545928375195
2021-12-30 12:30:00-05:00,0.3328445463173111,0.06330927252076206
2021-12-30 13:30:00-05:00,0.40786420241698096,0.13222025850000585
2021-12-30 14:30:00-05:00,0.4530736511031179,0.19639093702062826
2021-12-30 15:30:00-05:00,0.45750079655000064,0.24861290892650276
2021-12-31 09:30:00-05:00,0.4736406697086437,0.293618461082931
2021-12-31 10:30:00-05:00,0.4892481586307724,0.3327444005924993
2021-12-31 11:30:00-05:00,0.48315337829534855,0.3628261961330692
2021-12-31 12:30:00-05:00,0.4617042016127826,0.3826017972290119
2021-12-31 13:30:00-05:00,0.41690267420054283,0.38946197262331805
2021-12-31 14:30:00-05:00,0.36269173608062744,0.38410792531478
2021-12-31 15:30:00-05:00,0.29813663917403943,0.3669136680866319
2022-01-03 09:30:00-05:00,0.3073332761182854,0.3549975896929626
2022-01-03 10:30:00-05:00,0.3914543670568946,0.362288945165749
2022-01-03 11:30:00-05:00,0.505805059750891,0.39099216808277737
2022-01-03 12:30:00-05:00,0.6190041541015461,0.4365945652865312
2022-01-03 13:30:00-05:00,0.7428140612834397,0.49783846448591296
2022-01-03 14:30:00-05:00,0.8177101720534594,0.5618128059994223
2022-01-03 15:30:00-05:00,0.8408177105820727,0.6176137869159524
2022-01-04 09:30:00-05:00,0.7908032683971129,0.6522516832121845
2022-01-04 10:30:00-05:00,0.6687211916391931,0.6555455848975863
2022-01-04 11:30:00-05:00,0.5696801187949063,0.6383724916770503
2022-01-04 12:30:00-05:00,0.46949364612046907,0.6045967225657342
2022-01-04 13:30:00-05:00,0.36146273992157063,0.5559699260369015
2022-01-04 14:30:00-05:00,0.3191313163985825,0.5086022041092377
2022-01-04 15:30:00-05:00,0.2847219120848905,0.4638261457043683
2022-01-05 09:30:00-05:00,0.08141301588809569,0.3873435197411138
2022-01-05 10:30:00-05:00,-0.0756034963150114,0.29475411652988875
2022-01-05 11:30:00-05:00,-0.14192825249570973,0.2074176427247691
2022-01-05 12:30:00-05:00,-0.2477162479224546,0.11639086459532437
2022-01-05 13:30:00-05:00,-0.35449917702758427,0.022212856270742654
2022-01-05 14:30:00-05:00,-0.489961656110502,-0.08022204620550628
2022-01-05 15:30:00-05:00,-0.5554100138754876,-0.17525963973950254
2022-01-06 09:30:00-05:00,-0.750329049275976,-0.29027352164679726
2022-01-06 10:30:00-05:00,-0.79151506692628,-0.39052183070269386
2022-01-06 11:30:00-05:00,-0.6912361292543281,-0.45066469041302076
2022-01-06 12:30:00-05:00,-0.6254855059407802,-0.48562885351857266
2022-01-06 13:30:00-05:00,-0.5094074500585108,-0.4903845728265603
2022-01-06 14:30:00-05:00,-0.3911193931205048,-0.4705315368853492
2022-01-06 15:30:00-05:00,-0.30674988456524943,-0.4377752064213293
2022-01-07 09:30:00-05:00,-0.10154040040075785,-0.370528245217215
2022-01-07 10:30:00-05:00,0.07654751831297091,-0.28111309251117783
2022-01-07 11:30:00-05:00,0.3585928113367416,-0.15317191174159395
2022-01-07 12:30:00-05:00,0.5760805110597929,-0.007321427181316592
2022-01-07 13:30:00-05:00,0.6563505346773439,0.1254129651904155
2022-01-07 14:30:00-05:00,0.7348940480088402,0.24730918175410044
2022-01-07 15:30:00-05:00,0.8526716218728723,0.3683816697778548
2022-01-10 09:30:00-05:00,0.9518550026763819,0.48507633635756026
2022-01-10 10:30:00-05:00,1.0730879721450464,0.6026786635150575
2022-01-10 11:30:00-05:00,1.0928939453646151,0.7007217198849691
2022-01-10 12:30:00-05:00,1.0791329338807358,0.7764039626841225
2022-01-10 13:30:00-05:00,1.0704127021181407,0.8352057105709262
2022-01-10 14:30:00-05:00,0.9736282561929386,0.8628902196953288
2022-01-10 15:30:00-05:00,0.9381337999660175,0.8779389357494666
2022-01-11 09:30:00-05:00,1.090296903520148,0.9204105293036029
2022-01-11 10:30:00-05:00,1.1867096068149365,0.9736703448058697
