,MACD,Single Line
2021-09-27 09:30:00-04:00,0.0,0.0
2021-09-27 10:30:00-04:00,-0.00878304158181109,-0.0017566083163622183
2021-09-27 11:30:00-04:00,-0.05225142202139921,-0.011855571057369618
2021-09-27 12:30:00-04:00,-0.12320521035965015,-0.03412549891782573
2021-09-27 13:30:00-04:00,-0.17022014990018874,-0.061344429114298334
2021-09-27 14:30:00-04:00,-0.19673144189967573,-0.08842183167137382
2021-09-27 15:30:00-04:00,-0.23241936470404312,-0.11722133827790768
2021-09-28 09:30:00-04:00,-0.333602511124095,-0.16049757284714516
2021-09-28 10:30:00-04:00,-0.4333101223543494,-0.215060082748586
2021-09-28 11:30:00-04:00,-0.5013053863010377,-0.27230914345907636
2021-09-28 12:30:00-04:00,-0.5681939247058168,-0.33148609970842446
2021-09-28 13:30:00-04:00,-0.6034987138592705,-0.3858886225385937
2021-09-28 14:30:00-04:00,-0.5988264580935017,-0.42847618964957535
2021-09-28 15:30:00-04:00,-0.6162618840570104,-0.4660333285310624
2021-09-29 09:30:00-04:00,-0.40512129720617907,-0.45385092226608575
2021-09-29 10:30:00-04:00,-0.2935300241817025,-0.4217867426492091
2021-09-29 11:30:00-04:00,-0.21991496606026217,-0.3814123873314198
2021-09-29 12:30:00-04:00,-0.10196216117527612,-0.3255223421001911
2021-09-29 13:30:00-04:00,0.0062590787260283776,-0.25916605793494724
2021-09-29 14:30:00-04:00,0.024366857337767556,-0.20245947488040428
2021-09-29 15:30:00-04:00,0.025911451248884276,-0.15678528965454658
2021-09-30 09:30:00-04:00,-0.02593492492228222,-0.1306152167080937
2021-09-30 10:30:00-04:00,-0.07726042440845404,-0.11994425824816578
2021-09-30 11:30:00-04:00,-0.13524288059370448,-0.12300398271727353
2021-09-30 12:30:00-04:00,-0.14298475581727388,-0.1270001373372736
2021-09-30 13:30:00-04:00,-0.14821861072298148,-0.1312438320144152
2021-09-30 14:30:00-04:00,-0.16339362891021025,-0.13767379139357422
2021-09-30 15:30:00-04:00,-0.18307329729631405,-0.14675369257412219
2021-10-01 09:30:00-04:00,-0.2745742252165435,-0.17231779910260647
2021-10-01 10:30:00-04:00,-0.3135463826499638,-0.20056351581207793
2021-10-01 11:30:00-04:00,-0.34759880520637765,-0.22997057369093787
2021-10-01 12:30:00-04:00,-0.3752945045705367,-0.25903535986685766
2021-10-01 13:30:00-04:00,-0.375581520637148,-0.2823445920209157
2021-10-01 14:30:00-04:00,-0.3709678573615385,-0.30006924508904026
2021-10-01 15:30:00-04:00,-0.38310849405479175,-0.3166770948821906
2021-10-04 09:30:00-04:00,-0.4452595771799359,-0.34239359134173963
2021-10-04 10:30:00-04:00,-0.49489418151884834,-0.37289370937716143
2021-10-04 11:30:00-04:00,-0.5055662982649167,-0.3994282271547125
2021-10-04 12:30:00-04:00,-0.5044089336843633,-0.4204243684606427
2021-10-04 13:30:00-04:00,-0.5085312297518065,-0.4380457407188755
2021-10-04 14:30:00-04:00,-0.5021764987252944,-0.4508718923201593
2021-10-04 15:30:00-04:00,-0.48431930044876736,-0.4575613739458809
2021-10-05 09:30:00-04:00,-0.4443238637867495,-0.45491387191405463
2021-10-05 10:30:00-04:00,-0.3927523262083099,-0.44248156277290573
2021-10-05 11:30:00-04:00,-0.37339044247839936,-0.42866333871400447
2021-10-05 12:30:00-04:00,-0.3778415887270228,-0.4184989887166082
2021-10-05 13:30:00-04:00,-0.3642595463792304,-0.40765110024913265
2021-10-05 14:30:00-04:00,-0.36901131350633065,-0.3999231429005723
2021-10-05 15:30:00-04:00,-0.35847771261398975,-0.3916340568432558
2021-10-06 09:30:00-04:00,-0.33106266580395527,-0.3795197786353957
2021-10-06 10:30:00-04:00,-0.31139502000584685,-0.36589482690948594
2021-10-06 11:30:00-04:00,-0.30599849425578185,-0.35391556037874516
2021-10-06 12:30:00-04:00,-0.30700226978638057,-0.3445329022602723
2021-10-06 13:30:00-04:00,-0.2813555988764591,-0.33189744158350964
2021-10-06 14:30:00-04:00,-0.25591781752704534,-0.3167015167722168
2021-10-06 15:30:00-04:00,-0.22549319668623724,-0.2984598527550209
2021-10-07 09:30:00-04:00,-0.19509797686953334,-0.27778747757792344
2021-10-07 10:30:00-04:00,-0.15510051418996795,-0.25325008490033235
2021-10-07 11:30:00-04:00,-0.13914695287606804,-0.2304294584954795
2021-10-07 12:30:00-04:00,-0.12577195034430488,-0.20949795686524458
2021-10-07 13:30:00-04:00,-0.11634858268784853,-0.19086808202976538
2021-10-07 14:30:00-04:00,-0.10444888848476808,-0.17358424332076594
2021-10-07 15:30:00-04:00,-0.08555136954524656,-0.1559776685656621
2021-10-08 09:30:00-04:00,-0.09401339300353584,-0.14358481345323684
2021-10-08 10:30:00-04:00,-0.11171317205448972,-0.13721048517348744
2021-10-08 11:30:00-04:00,-0.12940487114251553,-0.13564936236729308
2021-10-08 12:30:00-04:00,-0.169376406636772,-0.14239477122118888
2021-10-08 13:30:00-04:00,-0.19750248442678497,-0.1534163138623081
2021-10-08 14:30:00-04:00,-0.25119091773801827,-0.17297123463745015
2021-10-08 15:30:00-04:00,-0.2784261489938302,-0.19406221750872618
2021-10-11 09:30:00-04:00,-0.3312921576712071,-0.22150820554122236
