Datetime,MACD,Single Line
2021-11-15 09:30:00-05:00,0.0,0.0
2021-11-15 09:35:00-05:00,-0.09413168708823605,-0.01882633741764721
2021-11-15 09:40:00-05:00,-0.09660903888925532,-0.03438287771196884
2021-11-15 09:45:00-05:00,-0.12696430632792044,-0.05289916343515916
2021-11-15 09:50:00-05:00,-0.11260556153629864,-0.06484044305538705
2021-11-15 09:55:00-05:00,-0.05622203563549988,-0.06311676157140962
2021-11-15 10:00:00-05:00,0.016673969783255416,-0.04715861530047662
2021-11-15 10:05:00-05:00,0.059899988484545474,-0.0257468945434722
2021-11-15 10:10:00-05:00,0.0583820292315238,-0.008921109788473
2021-11-15 10:15:00-05:00,0.003471004599390426,-0.006442686910900316
2021-11-15 10:20:00-05:00,-0.03639114086459472,-0.012432377701639196
2021-11-15 10:25:00-05:00,-0.09074007012273455,-0.02809391618585827
2021-11-15 10:30:00-05:00,-0.09319830789166872,-0.04111479452702036
2021-11-15 10:35:00-05:00,-0.15389124850389635,-0.06367008532239556
2021-11-15 10:40:00-05:00,-0.21843543871526094,-0.09462315600096863
2021-11-15 10:45:00-05:00,-0.23460661094233615,-0.12261984698924214
2021-11-15 10:50:00-05:00,-0.26215270808867785,-0.1505264192091293
2021-11-15 10:55:00-05:00,-0.29709911807819367,-0.17984095898294217
2021-11-15 11:00:00-05:00,-0.357389481452401,-0.21535066347683396
2021-11-15 11:05:00-05:00,-0.3802907735479266,-0.2483386854910525
2021-11-15 11:10:00-05:00,-0.4485043120029104,-0.2883718107934241
2021-11-15 11:15:00-05:00,-0.4888189439333246,-0.3284612374214042
2021-11-15 11:20:00-05:00,-0.5371699804730667,-0.37020298603173674
2021-11-15 11:25:00-05:00,-0.5501837640533722,-0.40619914163606385
2021-11-15 11:30:00-05:00,-0.5521160327907353,-0.43538251986699816
2021-11-15 11:35:00-05:00,-0.5457422155334939,-0.45745445900029735
2021-11-15 11:40:00-05:00,-0.6238747566145832,-0.4907385185231546
2021-11-15 11:45:00-05:00,-0.6473546371048826,-0.5220617422395002
2021-11-15 11:50:00-05:00,-0.7152189345710838,-0.5606931807058169
2021-11-15 11:55:00-05:00,-0.7332122708826887,-0.5951969987411913
2021-11-15 12:00:00-05:00,-0.7349723746704626,-0.6231520739270455
2021-11-15 12:05:00-05:00,-0.7558963346174608,-0.6497009260651285
2021-11-15 12:10:00-05:00,-0.7857560149239475,-0.6769119438368925
2021-11-15 12:15:00-05:00,-0.8156083740796589,-0.7046512298854457
2021-11-15 12:20:00-05:00,-0.8652002347735106,-0.7367610308630587
2021-11-15 12:25:00-05:00,-0.8335680825236693,-0.7561224411951808
2021-11-15 12:30:00-05:00,-0.7861238483056354,-0.7621227226172718
2021-11-15 12:35:00-05:00,-0.7057714730094631,-0.7508524726957101
2021-11-15 12:40:00-05:00,-0.5932121938938337,-0.7193244169353349
2021-11-15 12:45:00-05:00,-0.5134213614921066,-0.6781438058466893
2021-11-15 12:50:00-05:00,-0.466913936275688,-0.635897831932489
2021-11-15 12:55:00-05:00,-0.4200504952591473,-0.5927283645978207
2021-11-15 13:00:00-05:00,-0.3697722463975026,-0.5481371409577571
2021-11-15 13:05:00-05:00,-0.30383044228682365,-0.49927580122357046
2021-11-15 13:10:00-05:00,-0.2710402654227835,-0.4536286940634131
2021-11-15 13:15:00-05:00,-0.21673352816517877,-0.4062496608837663
2021-11-15 13:20:00-05:00,-0.186474474114533,-0.36229462352991965
2021-11-15 13:25:00-05:00,-0.14676093504468213,-0.31918788583287216
2021-11-15 13:30:00-05:00,-0.13781807677139568,-0.2829139240205769
2021-11-15 13:35:00-05:00,-0.10890723822913628,-0.2481125868622888
2021-11-15 13:40:00-05:00,-0.0786332757745356,-0.21421672464473818
2021-11-15 13:45:00-05:00,-0.03846211379095621,-0.1790658024739818
2021-11-15 13:50:00-05:00,-0.036074467076588235,-0.15046753539450308
2021-11-15 13:55:00-05:00,-0.047346502800650114,-0.1298433288757325
2021-11-15 14:00:00-05:00,-0.05960281146235502,-0.115795225393057
2021-11-15 14:05:00-05:00,-0.04701164032013594,-0.1020385083784728
2021-11-15 14:10:00-05:00,-0.03262217002213674,-0.08815524070720558
2021-11-15 14:15:00-05:00,-0.02257238830381425,-0.07503867022652731
2021-11-15 14:20:00-05:00,0.011883539887890038,-0.05765422820364384
2021-11-15 14:25:00-05:00,0.052041687088433264,-0.03571504514522842
2021-11-15 14:30:00-05:00,0.0884474961088415,-0.010882536894414437
2021-11-15 14:35:00-05:00,0.12425070450919407,0.016144111386307267
2021-11-15 14:40:00-05:00,0.18997444610650405,0.050910178330346625
2021-11-15 14:45:00-05:00,0.2418951450652287,0.08910717167732304
2021-11-15 14:50:00-05:00,0.260073720543204,0.12330048145049924
2021-11-15 14:55:00-05:00,0.27932886876718044,0.15450615891383548
2021-11-15 15:00:00-05:00,0.3031981184372228,0.18424455081851296
2021-11-15 15:05:00-05:00,0.316448815980948,0.21068540385099999
2021-11-15 15:10:00-05:00,0.33359492218994546,0.2352673075187891
2021-11-15 15:15:00-05:00,0.34721567708433554,0.2576569814318984
2021-11-15 15:20:00-05:00,0.3854163027100981,0.28320884568753835
2021-11-15 15:25:00-05:00,0.4231986461271333,0.31120680577545734
2021-11-15 15:30:00-05:00,0.4403831517574872,0.33704207497186334
2021-11-15 15:35:00-05:00,0.46054641268588625,0.36174294251466793
2021-11-15 15:40:00-05:00,0.4647208380750101,0.38233852162673637
2021-11-15 15:45:00-05:00,0.4347759377256466,0.3928260048465184
