,MACD,Single Line
2021-06-14 09:30:00-04:00,0.0,0.0
2021-06-14 10:30:00-04:00,-0.0130905738243694,-0.0026181147648738803
2021-06-14 11:30:00-04:00,-0.011941706222479809,-0.004482833056395066
2021-06-14 12:30:00-04:00,-0.017901587166351263,-0.007166583878386305
2021-06-14 13:30:00-04:00,-0.024177777710836068,-0.010568822644876259
2021-06-14 14:30:00-04:00,-0.035783617328036144,-0.015611781581508236
2021-06-14 15:30:00-04:00,-0.03928349331608594,-0.020346123928423776
2021-06-15 09:30:00-04:00,-0.0883083842237955,-0.033938575987498124
2021-06-15 10:30:00-04:00,-0.12644574648697038,-0.052440010087392575
2021-06-15 11:30:00-04:00,-0.15408673004176698,-0.07276935407826746
2021-06-15 12:30:00-04:00,-0.16856230851323595,-0.09192794496526116
2021-06-15 13:30:00-04:00,-0.16585732157759914,-0.10671382028772876
2021-06-15 14:30:00-04:00,-0.16862854771578917,-0.11909676577334086
2021-06-15 15:30:00-04:00,-0.17087231499780486,-0.12945187561823365
2021-06-16 09:30:00-04:00,-0.17759926385036806,-0.13908135326466053
2021-06-16 10:30:00-04:00,-0.1750941241849624,-0.1462839074487209
2021-06-16 11:30:00-04:00,-0.17715087622102743,-0.15245730120318224
2021-06-16 12:30:00-04:00,-0.17754121728577132,-0.15747408441970007
2021-06-16 13:30:00-04:00,-0.17781804988551286,-0.16154287751286261
2021-06-16 14:30:00-04:00,-0.16882902564883473,-0.16300010714005705
2021-06-16 15:30:00-04:00,-0.1602612348700969,-0.16245233268606502
2021-06-17 09:30:00-04:00,-0.14055412086248964,-0.15807269032134996
2021-06-17 10:30:00-04:00,-0.1377277601023721,-0.15400370427755442
2021-06-17 11:30:00-04:00,-0.15017742956885627,-0.1532384493358148
2021-06-17 12:30:00-04:00,-0.1525003546211554,-0.1530908303928829
2021-06-17 13:30:00-04:00,-0.15138580578315164,-0.15274982547093666
2021-06-17 14:30:00-04:00,-0.14759085688360862,-0.15171803175347107
2021-06-17 15:30:00-04:00,-0.14213792017819493,-0.14980200943841585
2021-06-18 09:30:00-04:00,-0.14701511999013128,-0.14924463154875894
2021-06-18 10:30:00-04:00,-0.1527506516270325,-0.14994583556441365
2021-06-18 11:30:00-04:00,-0.14503739368484325,-0.14896414718849957
2021-06-18 12:30:00-04:00,-0.14541433783422342,-0.14825418531764434
2021-06-18 13:30:00-04:00,-0.14764227067175284,-0.14813180238846604
2021-06-18 14:30:00-04:00,-0.15458959130525685,-0.1494233601718242
2021-06-18 15:30:00-04:00,-0.15497637150610188,-0.15053396243867975
2021-06-21 09:30:00-04:00,-0.17580160079482354,-0.15558749010990852
2021-06-21 10:30:00-04:00,-0.17747836249784932,-0.15996566458749667
2021-06-21 11:30:00-04:00,-0.17816552455514412,-0.16360563658102617
2021-06-21 12:30:00-04:00,-0.16881595309638264,-0.1646476998840975
2021-06-21 13:30:00-04:00,-0.15318520145161152,-0.1623552001976003
2021-06-21 14:30:00-04:00,-0.14437841354703806,-0.15875984286748784
2021-06-21 15:30:00-04:00,-0.13144568171550475,-0.15329701063709122
2021-06-22 09:30:00-04:00,-0.09309159325781735,-0.14125592716123644
2021-06-22 10:30:00-04:00,-0.05121197186868187,-0.12324713610272554
2021-06-22 11:30:00-04:00,-0.012631538762644112,-0.10112401663470927
2021-06-22 12:30:00-04:00,0.008964344064274599,-0.0791063444949125
2021-06-22 13:30:00-04:00,0.026180907042881785,-0.058048894187353636
2021-06-22 14:30:00-04:00,0.04296105897215874,-0.03784690355545116
2021-06-22 15:30:00-04:00,0.05920806661002942,-0.018435909522355045
2021-06-23 09:30:00-04:00,0.07831431069080885,0.0009141345202777328
2021-06-23 10:30:00-04:00,0.07137914744435747,0.015007137105093682
2021-06-23 11:30:00-04:00,0.07843812404126638,0.027693334492328223
2021-06-23 12:30:00-04:00,0.07437169441321423,0.03702900647650543
2021-06-23 13:30:00-04:00,0.08149825903514518,0.04592285698823338
2021-06-23 14:30:00-04:00,0.09477635157982434,0.055693555906551576
2021-06-23 15:30:00-04:00,0.10244810090864043,0.06504446490696936
2021-06-24 09:30:00-04:00,0.09253336276767854,0.0705422444791112
2021-06-24 10:30:00-04:00,0.08291323129860118,0.07301644184300919
2021-06-24 11:30:00-04:00,0.07762209127778696,0.07393757172996475
2021-06-24 12:30:00-04:00,0.07498517005943484,0.07414709139585877
2021-06-24 13:30:00-04:00,0.064885174937654,0.07229470810421783
2021-06-24 14:30:00-04:00,0.057030380209592835,0.06924184252529283
2021-06-24 15:30:00-04:00,0.04902981130904571,0.06519943628204342
2021-06-25 09:30:00-04:00,0.03183243553345427,0.05852603613232559
2021-06-25 10:30:00-04:00,0.015594816142844081,0.0499397921344293
2021-06-25 11:30:00-04:00,-0.00607159747955599,0.03873751421163224
2021-06-25 12:30:00-04:00,-0.02217985289389013,0.026554040790527766
2021-06-25 13:30:00-04:00,-0.03773839921654343,0.013695552789113528
2021-06-25 14:30:00-04:00,-0.049896869710355674,0.0009770682892196875
2021-06-25 15:30:00-04:00,-0.06563474143420933,-0.012345293655466117
2021-06-28 09:30:00-04:00,-0.04251619645397042,-0.01837947421516698
2021-06-28 10:30:00-04:00,-0.02910401296494136,-0.02052438196512186
2021-06-28 11:30:00-04:00,-0.011483592510643348,-0.018716224074226157
2021-06-28 12:30:00-04:00,-0.0035305194830961284,-0.01567908315600015
2021-06-28 13:30:00-04:00,0.004336232590667066,-0.011676020006666708
2021-06-28 14:30:00-04:00,0.01563537829053807,-0.006213740347225751
2021-06-28 15:30:00-04:00,0.021517793751403502,-0.0006674335274999008
2021-06-29 09:30:00-04:00,0.044228924697927496,0.00831183811758558
2021-06-29 10:30:00-04:00,0.03678913427694219,0.014007297349456903
2021-06-29 11:30:00-04:00,0.02056947928298669,0.015319733736162862
2021-06-29 12:30:00-04:00,0.009222840470773264,0.014100355083084942
2021-06-29 13:30:00-04:00,-0.00749400525067756,0.009781483016332443
2021-06-29 14:30:00-04:00,-0.014379399999372211,0.004949306413191512
2021-06-29 15:30:00-04:00,-0.01841346365423213,0.0002767523997067832
2021-06-30 09:30:00-04:00,-0.03851522411842012,-0.007481642903918598
2021-06-30 10:30:00-04:00,-0.05092984371109388,-0.016171283065353655
2021-06-30 11:30:00-04:00,-0.06017969282719626,-0.024972965017722178
2021-06-30 12:30:00-04:00,-0.06674091714519825,-0.033326555443217394
2021-06-30 13:30:00-04:00,-0.07391290787570703,-0.04144382592971532
2021-06-30 14:30:00-04:00,-0.07948741564801232,-0.049052543873374724
2021-06-30 15:30:00-04:00,-0.08055585082954586,-0.05535320526460895
2021-07-01 09:30:00-04:00,-0.08965676355969698,-0.06221391692362656
2021-07-01 10:30:00-04:00,-0.11489468359639332,-0.07275007025817992
2021-07-01 11:30:00-04:00,-0.1313005418294928,-0.0844601645724425
2021-07-01 12:30:00-04:00,-0.14450854704160143,-0.09646984106627429
2021-07-01 13:30:00-04:00,-0.14930106335672555,-0.10703608552436455
2021-07-01 14:30:00-04:00,-0.14989461364852552,-0.11560779114919675
2021-07-01 15:30:00-04:00,-0.1482525756750377,-0.12213674805436495
2021-07-02 09:30:00-04:00,-0.17033294600492965,-0.1317759876444779
2021-07-02 10:30:00-04:00,-0.17738704969043972,-0.14089820005367026
2021-07-02 11:30:00-04:00,-0.18488088346630782,-0.1496947367361978
2021-07-02 12:30:00-04:00,-0.1798702386362656,-0.15572983711621136
2021-07-02 13:30:00-04:00,-0.17549019457522874,-0.15968190860801484
2021-07-02 14:30:00-04:00,-0.17583415386615364,-0.16291235765964263
2021-07-02 15:30:00-04:00,-0.17350947533074468,-0.16503178119386303
2021-07-06 09:30:00-04:00,-0.15934045053613843,-0.1638935150623181
2021-07-06 10:30:00-04:00,-0.1416372349605055,-0.1594422590419556
2021-07-06 11:30:00-04:00,-0.14061578581062406,-0.15567696439568932
2021-07-06 12:30:00-04:00,-0.13890701663609306,-0.15232297484377008
2021-07-06 13:30:00-04:00,-0.13040123018418726,-0.14793862591185353
2021-07-06 14:30:00-04:00,-0.12943059792621092,-0.14423702031472502
2021-07-06 15:30:00-04:00,-0.12480192132016477,-0.14035000051581298
