Datetime,MACD,Single Line
2021-11-15 09:30:00-05:00,0.0,0.0
2021-11-15 09:35:00-05:00,0.011965325075664168,0.002393065015132834
2021-11-15 09:40:00-05:00,-0.01469246469406471,-0.001024040926706675
2021-11-15 09:45:00-05:00,-0.03860232676157693,-0.008539698093680726
2021-11-15 09:50:00-05:00,-0.04891751725472204,-0.01661526192588899
2021-11-15 09:55:00-05:00,-0.030118039457477153,-0.019315817432206624
2021-11-15 10:00:00-05:00,-0.0629071786431723,-0.02803408967439976
2021-11-15 10:05:00-05:00,-0.09665597892075084,-0.041758467523669976
2021-11-15 10:10:00-05:00,-0.12917504906772592,-0.059241783832481174
2021-11-15 10:15:00-05:00,-0.16594469759536423,-0.0805823665850578
2021-11-15 10:20:00-05:00,-0.18328945905824412,-0.10112378507969505
2021-11-15 10:25:00-05:00,-0.19239682585521223,-0.11937839323479849
2021-11-15 10:30:00-05:00,-0.19494660575679745,-0.1344920357391983
2021-11-15 10:35:00-05:00,-0.20190187786749902,-0.14797400416485845
2021-11-15 10:40:00-05:00,-0.20265722401745734,-0.15891064813537825
2021-11-15 10:45:00-05:00,-0.1873772106801539,-0.1646039606443334
2021-11-15 10:50:00-05:00,-0.17007877259385396,-0.16569892303423753
2021-11-15 10:55:00-05:00,-0.16735147052827415,-0.16602943253304486
2021-11-15 11:00:00-05:00,-0.16091449112514056,-0.16500644425146402
2021-11-15 11:05:00-05:00,-0.13728603516352678,-0.15946236243387657
2021-11-15 11:10:00-05:00,-0.11960226391056494,-0.15149034272921424
2021-11-15 11:15:00-05:00,-0.114762531845372,-0.1441447805524458
2021-11-15 11:20:00-05:00,-0.11045408032293835,-0.13740664050654433
2021-11-15 11:25:00-05:00,-0.11858116737960245,-0.13364154588115595
2021-11-15 11:30:00-05:00,-0.11482343070542811,-0.12987792284601038
2021-11-15 11:35:00-05:00,-0.11455843610400507,-0.12681402549760934
2021-11-15 11:40:00-05:00,-0.21196434435148603,-0.14384408926838468
2021-11-15 11:45:00-05:00,-0.26752281514927745,-0.16857983444456323
2021-11-15 11:50:00-05:00,-0.3159732300514406,-0.1980585135659387
2021-11-15 11:55:00-05:00,-0.32805202970359915,-0.2240572167934708
2021-11-15 12:00:00-05:00,-0.3281363698377504,-0.24487304740232674
2021-11-15 12:05:00-05:00,-0.32286843728707026,-0.26047212537927544
2021-11-15 12:10:00-05:00,-0.32303698773057477,-0.27298509784953534
2021-11-15 12:15:00-05:00,-0.3348052733852569,-0.28534913295667963
2021-11-15 12:20:00-05:00,-0.3496240162643858,-0.29820410961822086
2021-11-15 12:25:00-05:00,-0.3564513233560547,-0.3098535523657876
2021-11-15 12:30:00-05:00,-0.3393897750357837,-0.31576079689978687
2021-11-15 12:35:00-05:00,-0.30859488508542654,-0.3143276145369148
2021-11-15 12:40:00-05:00,-0.2673887590078152,-0.3049398434310949
2021-11-15 12:45:00-05:00,-0.23923678679574323,-0.2917992321040246
2021-11-15 12:50:00-05:00,-0.20886942330957936,-0.27521327034513554
2021-11-15 12:55:00-05:00,-0.17847084470724894,-0.25586478521755823
2021-11-15 13:00:00-05:00,-0.13291599496346862,-0.23127502716674034
2021-11-15 13:05:00-05:00,-0.10209329085012087,-0.20543867990341644
2021-11-15 13:10:00-05:00,-0.0827624376025824,-0.18090343144324963
2021-11-15 13:15:00-05:00,-0.0638817056010339,-0.1574990862748065
2021-11-15 13:20:00-05:00,-0.05235117731746186,-0.13646950448333758
2021-11-15 13:25:00-05:00,-0.045113758038439755,-0.11819835519435802
2021-11-15 13:30:00-05:00,-0.047703058636386686,-0.10409929588276376
2021-11-15 13:35:00-05:00,-0.0483895885292327,-0.09295735441205756
2021-11-15 13:40:00-05:00,-0.052366084431525906,-0.08483910041595125
2021-11-15 13:45:00-05:00,-0.04132248345956668,-0.07613577702467435
2021-11-15 13:50:00-05:00,-0.04177143810380812,-0.0692629092405011
2021-11-15 13:55:00-05:00,-0.04803028508496254,-0.06501638440939339
2021-11-15 14:00:00-05:00,-0.06195884651151573,-0.06440487682981787
2021-11-15 14:05:00-05:00,-0.07216545336694935,-0.06595699213724417
2021-11-15 14:10:00-05:00,-0.08253124917774812,-0.06927184354534496
2021-11-15 14:15:00-05:00,-0.10407046220660732,-0.07623156727759745
2021-11-15 14:20:00-05:00,-0.11098616559797847,-0.08318248694167366
2021-11-15 14:25:00-05:00,-0.11912728233119196,-0.09037144601957732
2021-11-15 14:30:00-05:00,-0.11377731439267791,-0.09505261969419744
2021-11-15 14:35:00-05:00,-0.1034153662444055,-0.09672516900423907
2021-11-15 14:40:00-05:00,-0.06788243316623266,-0.0909566218366378
2021-11-15 14:45:00-05:00,-0.040065716972890186,-0.08077844086388829
2021-11-15 14:50:00-05:00,-0.032176228633886694,-0.07105799841788797
2021-11-15 14:55:00-05:00,-0.01326131547074283,-0.05949866182845895
2021-11-15 15:00:00-05:00,-0.004274692721821793,-0.04845386800713152
2021-11-15 15:05:00-05:00,-0.004364372021314011,-0.03963596880996802
2021-11-15 15:10:00-05:00,-0.0004045702910389082,-0.0317896891061822
2021-11-15 15:15:00-05:00,0.007096632430886984,-0.024012424798768365
2021-11-15 15:20:00-05:00,0.019275899480646785,-0.015354759942885337
2021-11-15 15:25:00-05:00,0.0381706519650038,-0.0046496775613075105
2021-11-15 15:30:00-05:00,0.029005405095404058,0.0020813389700348036
2021-11-15 15:35:00-05:00,0.011921850135934164,0.004049441203214676
2021-11-15 15:40:00-05:00,-0.000800063188535205,0.0030795403248646998
